index,chapter_dir,parts,chars,region,voice_name,locale,output_format,style,chapter_audio_seconds,chapter_audio_file,output_subdir,updated_at_utc
1,001_第1章 舔狗三年半，它竟说我攻略错对象！,8,2025,eastasia,zh-CN-XiaochenNeural,zh-CN,riff-24khz-16bit-mono-pcm,,387.188,001_第1章 舔狗三年半，它竟说我攻略错对象！/chapter.wav,001_第1章 舔狗三年半，它竟说我攻略错对象！,2026-03-05T03:34:12Z
2,002_第2章 她喜欢这个新对象,9,2284,eastasia,zh-CN-XiaochenNeural,zh-CN,riff-24khz-16bit-mono-pcm,,441.100,002_第2章 她喜欢这个新对象/chapter.wav,002_第2章 她喜欢这个新对象,2026-03-05T03:34:12Z
3,003_第3章 欲擒故纵的小把戏你已经玩过了,10,2522,eastasia,zh-CN-XiaochenNeural,zh-CN,riff-24khz-16bit-mono-pcm,,479.000,003_第3章 欲擒故纵的小把戏你已经玩过了/chapter.wav,003_第3章 欲擒故纵的小把戏你已经玩过了,2026-03-05T03:34:12Z
4,004_第4章 谢遇安还真是个言出必行的真君子,8,2002,eastasia,zh-CN-XiaochenNeural,zh-CN,riff-24khz-16bit-mono-pcm,,381.900,004_第4章 谢遇安还真是个言出必行的真君子/chapter.wav,004_第4章 谢遇安还真是个言出必行的真君子,2026-03-05T03:34:12Z
5,005_第5章 谁稀罕当你的跑腿丫环,9,2144,eastasia,zh-CN-XiaochenNeural,zh-CN,riff-24khz-16bit-mono-pcm,,410.462,005_第5章 谁稀罕当你的跑腿丫环/chapter.wav,005_第5章 谁稀罕当你的跑腿丫环,2026-03-05T03:34:12Z
6,006_第6章 陆世子，你弄疼她了,8,2029,eastasia,zh-CN-XiaochenNeural,zh-CN,riff-24khz-16bit-mono-pcm,,392.350,006_第6章 陆世子，你弄疼她了/chapter.wav,006_第6章 陆世子，你弄疼她了,2026-03-05T03:34:12Z
7,007_第7章 看到了，确实很美,9,2278,eastasia,zh-CN-XiaochenNeural,zh-CN,riff-24khz-16bit-mono-pcm,,431.625,007_第7章 看到了，确实很美/chapter.wav,007_第7章 看到了，确实很美,2026-03-05T03:34:12Z
8,008_第8章 狗男人终于做了一件好事,9,2223,eastasia,zh-CN-XiaochenNeural,zh-CN,riff-24khz-16bit-mono-pcm,,428.975,008_第8章 狗男人终于做了一件好事/chapter.wav,008_第8章 狗男人终于做了一件好事,2026-03-05T03:34:12Z
9,009_第9章 妹妹，不然你还是换个人追吧？,8,2028,eastasia,zh-CN-XiaochenNeural,zh-CN,riff-24khz-16bit-mono-pcm,,386.038,009_第9章 妹妹，不然你还是换个人追吧？/chapter.wav,009_第9章 妹妹，不然你还是换个人追吧？,2026-03-05T03:34:12Z
10,010_第10章 完了，这下真的玩完了,10,2506,eastasia,zh-CN-XiaochenNeural,zh-CN,riff-24khz-16bit-mono-pcm,,477.512,010_第10章 完了，这下真的玩完了/chapter.wav,010_第10章 完了，这下真的玩完了,2026-03-05T03:34:12Z
